date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:54:42	659435/659435	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:54:32%20GMT	https://goodtoys.com.ua/ua/category/turisticheskaya-i-kempingovaya-mebel/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/turisticheskaya-i-kempingovaya-mebel/index.html	(from https://goodtoys.com.ua/ua/)
13:54:44	684971/684971	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:54:37%20GMT	https://goodtoys.com.ua/ua/category/turisticheskie-palatki/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/turisticheskie-palatki/index.html	(from https://goodtoys.com.ua/ua/)
13:54:47	558344/558344	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:54:39%20GMT	https://goodtoys.com.ua/ua/category/gamaki/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/gamaki/index.html	(from https://goodtoys.com.ua/ua/)
13:54:49	608230/608230	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:54:41%20GMT	https://goodtoys.com.ua/ua/category/aksessuary-dlya-turizma/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/aksessuary-dlya-turizma/index.html	(from https://goodtoys.com.ua/ua/)
13:54:51	638424/638424	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:54:45%20GMT	https://goodtoys.com.ua/ua/category/spalnye-meshki/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/spalnye-meshki/index.html	(from https://goodtoys.com.ua/ua/)
13:54:56	734854/734854	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:54:47%20GMT	https://goodtoys.com.ua/ua/category/obuchayushchie-plakaty-kovriki/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/obuchayushchie-plakaty-kovriki/index.html	(from https://goodtoys.com.ua/ua/)
13:54:59	600931/600931	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:54:49%20GMT	https://goodtoys.com.ua/ua/category/penaly-shkolnye/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/penaly-shkolnye/index.html	(from https://goodtoys.com.ua/ua/)
13:55:01	709861/709861	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:54:52%20GMT	https://goodtoys.com.ua/ua/category/chemodan-dlya-risovaniya/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/chemodan-dlya-risovaniya/index.html	(from https://goodtoys.com.ua/ua/)
13:55:05	598106/598106	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:54:57%20GMT	https://goodtoys.com.ua/ua/category/trafarety-dlya-risovaniya/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/trafarety-dlya-risovaniya/index.html	(from https://goodtoys.com.ua/ua/)
13:55:07	655640/655640	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:54:56%20GMT	https://goodtoys.com.ua/ua/category/bloknoty/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/bloknoty/index.html	(from https://goodtoys.com.ua/ua/)
13:55:12	711450/711450	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:55:01%20GMT	https://goodtoys.com.ua/ua/category/gelevye-ruchki/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/gelevye-ruchki/index.html	(from https://goodtoys.com.ua/ua/)
13:55:15	709067/709067	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:55:05%20GMT	https://goodtoys.com.ua/ua/category/flomastery-markery/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/flomastery-markery/index.html	(from https://goodtoys.com.ua/ua/)
13:55:18	671247/671247	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:55:08%20GMT	https://goodtoys.com.ua/ua/category/karandashi/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/karandashi/index.html	(from https://goodtoys.com.ua/ua/)
13:55:20	616275/616275	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:55:11%20GMT	https://goodtoys.com.ua/ua/category/kraski/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/kraski/index.html	(from https://goodtoys.com.ua/ua/)
13:55:25	749094/749094	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:55:14%20GMT	https://goodtoys.com.ua/ua/category/rospis-po-kholstu/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/rospis-po-kholstu/index.html	(from https://goodtoys.com.ua/ua/)
13:55:27	809453/809453	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:55:18%20GMT	https://goodtoys.com.ua/ua/category/raskraski/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/raskraski/index.html	(from https://goodtoys.com.ua/ua/)
13:55:28	606381/606381	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:55:20%20GMT	https://goodtoys.com.ua/ua/category/vitrazhnye-kraski/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/vitrazhnye-kraski/index.html	(from https://goodtoys.com.ua/ua/)
13:55:32	725576/725576	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:55:23%20GMT	https://goodtoys.com.ua/ua/category/melki-dlja-risovanija/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/melki-dlja-risovanija/index.html	(from https://goodtoys.com.ua/ua/)
13:55:37	730389/730389	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:55:26%20GMT	https://goodtoys.com.ua/ua/category/proektory-dlja-risovanija/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/proektory-dlja-risovanija/index.html	(from https://goodtoys.com.ua/ua/)
13:55:38	757822/757822	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:55:29%20GMT	https://goodtoys.com.ua/ua/category/knizhki-dlya-samykh-malenkikh/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/knizhki-dlya-samykh-malenkikh/index.html	(from https://goodtoys.com.ua/ua/)
13:55:43	709118/709118	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:55:33%20GMT	https://goodtoys.com.ua/ua/category/akrilovye-kraski/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/akrilovye-kraski/index.html	(from https://goodtoys.com.ua/ua/)
13:55:44	828814/828814	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:55:36%20GMT	https://goodtoys.com.ua/ua/category/knigi-dlya-doshkolnikov/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/knigi-dlya-doshkolnikov/index.html	(from https://goodtoys.com.ua/ua/)
13:55:50	848093/848093	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:55:41%20GMT	https://goodtoys.com.ua/ua/category/detskaya-i-podrostkovaya-literatura/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/detskaya-i-podrostkovaya-literatura/index.html	(from https://goodtoys.com.ua/ua/)
13:55:57	855633/855633	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:55:48%20GMT	https://goodtoys.com.ua/ua/category/radioupravljaemye-mashiny/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/radioupravljaemye-mashiny/index.html	(from https://goodtoys.com.ua/ua/)
13:55:57	783953/783953	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:55:45%20GMT	https://goodtoys.com.ua/ua/category/entsiklopediya-dlya-detey/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/entsiklopediya-dlya-detey/index.html	(from https://goodtoys.com.ua/ua/)
13:56:02	798888/798888	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:55:51%20GMT	https://goodtoys.com.ua/ua/category/radioupravljaemye-zhivotnye/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/radioupravljaemye-zhivotnye/index.html	(from https://goodtoys.com.ua/ua/)
13:56:02	866473/866473	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:55:55%20GMT	https://goodtoys.com.ua/ua/category/knigi-dlya-mladshikh-klassov/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/knigi-dlya-mladshikh-klassov/index.html	(from https://goodtoys.com.ua/ua/)
13:56:12	845482/845482	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:55:59%20GMT	https://goodtoys.com.ua/ua/category/-radioupravljaemye-kvadrokoptery/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/-radioupravljaemye-kvadrokoptery/index.html	(from https://goodtoys.com.ua/ua/)
13:56:14	789314/789314	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:56:05%20GMT	https://goodtoys.com.ua/ua/category/konstruktory-na-radioupravlenii/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/konstruktory-na-radioupravlenii/index.html	(from https://goodtoys.com.ua/ua/)
13:56:14	816303/816303	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:56:02%20GMT	https://goodtoys.com.ua/ua/category/roboty-transformery/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/roboty-transformery/index.html	(from https://goodtoys.com.ua/ua/)
13:56:18	865871/865871	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:56:08%20GMT	https://goodtoys.com.ua/ua/category/radioupravljaemye-tanki/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/radioupravljaemye-tanki/index.html	(from https://goodtoys.com.ua/ua/)
13:56:28	770377/770377	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:56:14%20GMT	https://goodtoys.com.ua/ua/category/radioupravljaemyj-spectransport/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/radioupravljaemyj-spectransport/index.html	(from https://goodtoys.com.ua/ua/)
13:56:30	596341/596341	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:56:22%20GMT	https://goodtoys.com.ua/ua/category/radioupravljaemye-motocikly-kvadrocikly/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/radioupravljaemye-motocikly-kvadrocikly/index.html	(from https://goodtoys.com.ua/ua/)
13:56:31	818219/818219	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:56:17%20GMT	https://goodtoys.com.ua/ua/category/radioupravljaemye-transformery/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/radioupravljaemye-transformery/index.html	(from https://goodtoys.com.ua/ua/)
13:56:33	739284/739284	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:56:20%20GMT	https://goodtoys.com.ua/ua/category/aksessuary/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/aksessuary/index.html	(from https://goodtoys.com.ua/ua/)
13:56:39	772169/772169	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:56:29%20GMT	https://goodtoys.com.ua/ua/category/radioupravljaemye-lodki/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/radioupravljaemye-lodki/index.html	(from https://goodtoys.com.ua/ua/)
13:56:42	682058/682058	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:56:31%20GMT	https://goodtoys.com.ua/ua/category/radioupravljaemye-samolety/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/radioupravljaemye-samolety/index.html	(from https://goodtoys.com.ua/ua/)
13:56:47	746954/746954	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:56:34%20GMT	https://goodtoys.com.ua/ua/category/figurki-zhivotnyh/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/figurki-zhivotnyh/index.html	(from https://goodtoys.com.ua/ua/)
13:56:49	728327/728327	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:56:41%20GMT	https://goodtoys.com.ua/ua/category/figurki-marvel/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/figurki-marvel/index.html	(from https://goodtoys.com.ua/ua/)
13:56:49	718104/718104	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:56:36%20GMT	https://goodtoys.com.ua/ua/category/radioupravljaemye-vertolety-/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/radioupravljaemye-vertolety-/index.html	(from https://goodtoys.com.ua/ua/)
13:56:55	668407/668407	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:56:44%20GMT	https://goodtoys.com.ua/ua/category/figurki-funko-pop/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/category/figurki-funko-pop/index.html	(from https://goodtoys.com.ua/ua/)
